Date,Open,High,Low,Close,Adj Close,Volume
2019-04-25,41.060001,41.250000,39.650002,40.250000,40.250000,1777600
2019-04-26,42.480000,43.090000,42.450001,43.049999,43.049999,674300
2019-04-29,42.750000,43.380001,42.750000,43.380001,43.380001,214800
2019-04-30,42.820000,43.209999,42.820000,43.080002,43.080002,216800
2019-05-01,43.020000,43.340000,43.000000,43.009998,43.009998,184400
2019-05-02,42.900002,43.060001,42.650002,42.939999,42.939999,157300
2019-05-03,42.939999,43.549999,42.889999,43.540001,43.540001,206400
2019-05-06,42.459999,43.380001,42.369999,43.360001,43.360001,297900
2019-05-07,41.990002,42.070000,41.520000,41.740002,41.740002,582800
2019-05-08,41.599998,42.919998,41.599998,42.459999,42.459999,605800
2019-05-09,41.860001,42.099998,41.360001,42.020000,42.020000,614300
2019-05-10,41.750000,42.750000,41.599998,42.630001,42.630001,526900
2019-05-13,42.180000,42.180000,41.040001,41.340000,41.340000,806000
2019-05-14,42.070000,42.779999,42.070000,42.639999,42.639999,296000
2019-05-15,42.389999,43.150002,42.369999,43.060001,43.060001,313500
2019-05-16,41.700001,42.709999,41.700001,42.400002,42.400002,430900
2019-05-17,42.529999,42.779999,42.270000,42.400002,42.400002,364400
2019-05-20,42.770000,43.169998,42.560001,42.770000,42.770000,264600
2019-05-21,43.020000,43.380001,43.020000,43.189999,43.189999,341100
2019-05-22,42.980000,43.340000,42.970001,43.250000,43.250000,494100
2019-05-23,43.299999,43.439999,43.139999,43.419998,43.419998,611300
2019-05-24,44.529999,44.650002,44.389999,44.610001,44.610001,470400
2019-05-28,44.400002,44.689999,44.139999,44.139999,44.139999,183800
2019-05-29,44.680000,44.680000,43.860001,44.150002,44.150002,238100
2019-05-30,43.799999,43.849998,43.590000,43.779999,43.779999,200100
2019-05-31,44.930000,44.930000,44.000000,44.139999,44.139999,311000
2019-06-03,44.410000,44.660000,44.240002,44.360001,44.360001,283000
2019-06-04,43.990002,44.349998,43.509998,44.330002,44.330002,220400
2019-06-05,44.799999,44.799999,44.439999,44.700001,44.700001,153700
2019-06-06,44.700001,44.709999,44.349998,44.639999,44.639999,147000
2019-06-07,45.320000,45.590000,45.110001,45.340000,45.340000,659800
2019-06-10,45.650002,45.980000,45.320000,45.389999,45.389999,638400
2019-06-11,45.439999,45.450001,44.169998,44.290001,44.290001,765400
2019-06-12,43.599998,43.639999,43.020000,43.099998,43.099998,561700
2019-06-13,43.060001,43.330002,42.810001,43.060001,43.060001,354300
2019-06-14,43.250000,43.250000,42.970001,43.150002,43.150002,149600
2019-06-17,43.349998,43.349998,43.150002,43.180000,43.180000,91100
2019-06-18,43.750000,44.200001,43.750000,44.200001,44.200001,226800
2019-06-19,43.369999,43.830002,43.369999,43.799999,43.799999,181900
2019-06-20,45.099998,45.139999,44.650002,44.959999,44.959999,198100
2019-06-21,44.840000,44.840000,44.340000,44.610001,44.610001,107000
2019-06-24,44.520000,44.599998,44.270000,44.509998,44.509998,243400
2019-06-25,44.509998,44.599998,44.049999,44.080002,44.080002,131200
2019-06-26,44.529999,44.639999,43.639999,44.000000,44.000000,478900
